time,c_left,c_top
235,56.767464335448,-14.759292811637
236,56.821080831146,-14.736085781555
237,56.87465984324,-14.713396988561
238,56.928195340875,-14.691163049725
239,56.981681507726,-14.669325870648
240,57.035113020486,-14.647830785455
241,57.088485290156,-14.626624925323
242,57.141794663076,-14.60565589402
243,57.195038580629,-14.584870785628
244,57.248215698783,-14.564215545047
245,57.301325971207,-14.543634648104
246,57.354370702163,-14.523071065086
247,57.407352577443,-14.502466467412
248,57.460275682898,-14.481761639008
249,57.513145520147,-14.460897058539
250,57.56596902781,-14.439813623376
251,57.618754613956,-14.418453489257
252,57.671512201739,-14.396761000494
253,57.724253285749,-14.37468368462
254,57.77699099207,-14.352173283339
255,57.829740131108,-14.329186789802
256,57.882517229498,-14.305687461264
257,57.935340526522,-14.281645776833
258,57.988229921607,-14.257040312356
259,58.041206862597,-14.23185850831
260,58.094294169112,-14.206097311377
261,58.147515790366,-14.179763675523
262,58.200896501446,-14.152874913165
263,58.254461545113,-14.125458890733
264,58.308236227548,-14.097554065234
265,58.362245475969,-14.069209359148
266,58.416513364885,-14.040483870307
267,58.471062617147,-14.011446411928
268,58.525914087088,-13.982174876486
269,58.58108623695,-13.952755416506
270,58.636594624111,-13.923281436504
271,58.692451424062,-13.893852393888
272,58.748665020459,-13.864572412897
273,58.80523969664,-13.835548724611
274,58.862175460938,-13.806889957306
275,58.919468030833,-13.778704314043
276,58.97710898919,-13.751097687291
277,59.0350861119,-13.724171771937
278,59.093383852313,-13.698022246546
279,59.151983956171,-13.672737096323
280,59.210866172591,-13.64839514865
281,59.270009022602,-13.625064882374
282,59.329390586451,-13.602803555678
283,59.388989273932,-13.581656675601
284,59.448784547159,-13.561657807561
285,59.508757571859,-13.542828698574
286,59.568891780306,-13.525179666555
287,59.629173335988,-13.508710193096
288,59.689591496207,-13.493409650508
289,59.75013887393,-13.479258096707
290,59.810811603944,-13.466227083119
291,59.871609420896,-13.454280439753
292,59.93253565812,-13.443375024757
293,59.993597176699,-13.433461449854
294,60.054804234186,-13.424484814155
295,60.116170302299,-13.416385493288
296,60.177711842819,-13.409100035774
297,60.23944805109,-13.402562212334
298,60.301400576842,-13.396704246304
299,60.363593232304,-13.391458226373
300,60.426051697658,-13.386757670328
301,60.488803233388,-13.382539175441
302,60.551876407938,-13.378744063646
303,60.615300847297,-13.375319913002
304,60.679107010662,-13.372221864775
305,60.743325993564,-13.369413608668
306,60.807989356897,-13.36686797537
307,60.873128977723,-13.364567101066
308,60.938776915601,-13.362502166931
309,61.004965286997,-13.360672751919
310,61.071726140049,-13.359085864786
311,61.1390913227,-13.357754738486
312,61.207092338724,-13.35669747664
313,61.27576018833,-13.355935638925
314,61.345125192295,-13.355492842689
315,61.41521680071,-13.355393444455
316,61.486063389084,-13.355661349734
317,61.557692045495,-13.356318984572
318,61.630128352729,-13.357386448313
319,61.703396169019,-13.358880855058
320,61.777517410173,-13.360815860872
321,61.85251183509,-13.363201365352
322,61.928396835816,-13.366043369526
323,62.005187232908,-13.36934396729
324,62.082895076761,-13.373101444873
325,62.161529456078,-13.377310461996
326,62.241096315364,-13.381962289634
327,62.321598284446,-13.38704508198
328,62.403034524181,-13.392544164152
329,62.485400593674,-13.398442321612
330,62.568688345189,-13.404720081693
331,62.652885853515,-13.41135598154
332,62.737977386619,-13.418326819821
333,62.823943423962,-13.42560789172
334,62.910760727824,-13.433173207988
335,62.998402471528,-13.440995699474
336,63.086838426414,-13.44904740892
337,63.176035207283,-13.457299672126
338,63.265956573546,-13.465723291232
339,63.356563781056,-13.474288703796
340,63.447815977418,-13.482966152675
341,63.539670631831,-13.491725863044
342,63.632083989176,-13.500538233874
343,63.725011537344,-13.509374051448
344,63.818408476588,-13.518204731516
345,63.912230180048,-13.527002594327
346,64.006432635428,-13.535741173006
347,64.100972859043,-13.5443955509
348,64.195809274966,-13.552942718017
349,64.290902053653,-13.561361931403
350,64.386213406172,-13.569635059839
351,64.481707831818,-13.577746890378
352,64.57735231844,-13.585685373517
353,64.673116496175,-13.593441785595
354,64.768972746383,-13.60101079129
355,64.864896268491,-13.60839039581
356,64.960865108069,-13.615581784795
357,65.056860149879,-13.622589059362
358,65.152865079836,-13.629418882982
359,65.248866319824,-13.636080064771
360,65.34485293921,-13.642583109219
361,65.440816546622,-13.64893976448
362,65.536751165255,-13.655162599825
363,65.632653094578,-13.661264637927
364,65.728520760898,-13.667259060103
365,65.824354558835,-13.67315899368
366,65.920156685331,-13.678977381671
